Landscape,Site,Acres,Species,Lbs,Oz,G,Lbs.Sp,Lbs.Acre.Sp,Total.Lbs,Total.Lbs.Acre,RelAbund.Lbs
KSands,A2,28.8120753,Agrimonia.parviflora,0.7558,,,0.7558,0.026232057,112.3187,3.898320368,0.006729066
KSands,A2,28.8120753,Aletris.farinosa,0.0121,,,0.0121,0.000419963,112.3187,3.898320368,0.000107729
KSands,A2,28.8120753,Allium.canadense,0.85,,,0.85,0.029501519,112.3187,3.898320368,0.007567751
KSands,A2,28.8120753,Andropogon.gerardii,20,,,20,0.694153399,112.3187,3.898320368,0.178064739
KSands,A2,28.8120753,Anemone.cylindrica,0.2921,,,0.2921,0.01013811,112.3187,3.898320368,0.002600636
KSands,A2,28.8120753,Apocynum.cannabinum,0.0121,,,0.0121,0.000419963,112.3187,3.898320368,0.000107729
KSands,A2,28.8120753,Aquilegia.canadensis,0.0088,,,0.0088,0.000305427,112.3187,3.898320368,7.83485E-05
KSands,A2,28.8120753,Symphyotrichum.novae-angliae,3,,,3,0.10412301,112.3187,3.898320368,0.026709711
KSands,A2,28.8120753,Symphyotrichum.lanceolatum,0.5,,,0.5,0.017353835,112.3187,3.898320368,0.004451618
KSands,A2,28.8120753,Doellingeria.umbellata,2.25,,,2.25,0.078092257,112.3187,3.898320368,0.020032283
KSands,A2,28.8120753,Baptisia.lactea,1,,,1,0.03470767,112.3187,3.898320368,0.008903237
KSands,A2,28.8120753,Carex.annectens,1.25,,,1.25,0.043384587,112.3187,3.898320368,0.011129046
KSands,A2,28.8120753,Carex.vulpinoidea,6.25,,,6.25,0.216922937,112.3187,3.898320368,0.055645231
KSands,A2,28.8120753,Castilleja.coccinea,0,,,0,0,112.3187,3.898320368,0
KSands,A2,28.8120753,Cinna.arundinacea,0.0899,,,0.0899,0.00312022,112.3187,3.898320368,0.000800401
KSands,A2,28.8120753,Claytonia.virginica,0,,,0,0,112.3187,3.898320368,0
KSands,A2,28.8120753,Coreopsis.tripteris,1.5,,,1.5,0.052061505,112.3187,3.898320368,0.013354855
KSands,A2,28.8120753,Dalea.purpurea,0.7584,,,0.7584,0.026322297,112.3187,3.898320368,0.006752215
KSands,A2,28.8120753,Desmodium.canadense,0.0293,,,0.0293,0.001016935,112.3187,3.898320368,0.000260865
KSands,A2,28.8120753,Primula.meadia,0,,,0,0,112.3187,3.898320368,0
KSands,A2,28.8120753,Elymus.canadensis,9.5,,,9.5,0.329722864,112.3187,3.898320368,0.084580751
KSands,A2,28.8120753,Elymus.riparius,0.1142,,,0.1142,0.003963616,112.3187,3.898320368,0.00101675
KSands,A2,28.8120753,Eryngium.yuccifolium,1.25,,,1.25,0.043384587,112.3187,3.898320368,0.011129046
KSands,A2,28.8120753,Eutrochium.maculatum,6,,,6,0.20824602,112.3187,3.898320368,0.053419422
KSands,A2,28.8120753,Eupatorium.perfoliatum,6,,,6,0.20824602,112.3187,3.898320368,0.053419422
KSands,A2,28.8120753,Gentiana.andrewsii,0.0619,,,0.0619,0.002148405,112.3187,3.898320368,0.00055111
KSands,A2,28.8120753,Helianthus.grosseserratus,0.8245,,,0.8245,0.028616474,112.3187,3.898320368,0.007340719
KSands,A2,28.8120753,Helianthus.mollis,0.1345,,,0.1345,0.004668182,112.3187,3.898320368,0.001197485
KSands,A2,28.8120753,Helianthus.tuberosus,0.0123,,,0.0123,0.000426904,112.3187,3.898320368,0.00010951
KSands,A2,28.8120753,Heuchera.richardsonii,trace,,,0,0,112.3187,3.898320368,0
KSands,A2,28.8120753,Houstonia.caerulea,0.0013,,,0.0013,4.512E-05,112.3187,3.898320368,1.15742E-05
KSands,A2,28.8120753,Hypericum.gentianoides,0.3962,,,0.3962,0.013751179,112.3187,3.898320368,0.003527462
KSands,A2,28.8120753,Juncus.torreyi,0.3,,,0.3,0.010412301,112.3187,3.898320368,0.002670971
KSands,A2,28.8120753,Liatris.spicata,2,,,2,0.06941534,112.3187,3.898320368,0.017806474
KSands,A2,28.8120753,Lycopus.americanus,1,,,1,0.03470767,112.3187,3.898320368,0.008903237
KSands,A2,28.8120753,Lythrum.alatum,0.5,,,0.5,0.017353835,112.3187,3.898320368,0.004451618
KSands,A2,28.8120753,Monarda.fistulosa,0.0657,,,0.0657,0.002280294,112.3187,3.898320368,0.000584943
KSands,A2,28.8120753,Oenothera.biennis,0.095,,,0.095,0.003297229,112.3187,3.898320368,0.000845808
KSands,A2,28.8120753,Dichanthelium.implicatum,0.0165,,,0.0165,0.000572677,112.3187,3.898320368,0.000146903
KSands,A2,28.8120753,Coleataenia.rigidula,1.25,,,1.25,0.043384587,112.3187,3.898320368,0.011129046
KSands,A2,28.8120753,Panicum.virgatum,8,,,8,0.27766136,112.3187,3.898320368,0.071225896
KSands,A2,28.8120753,Parthenium.integrifolium,3,,,3,0.10412301,112.3187,3.898320368,0.026709711
KSands,A2,28.8120753,Penstemon.digitalis,0.5291,,,0.5291,0.018363828,112.3187,3.898320368,0.004710703
KSands,A2,28.8120753,Pycnanthemum.virginianum,0.6717,,,0.6717,0.023313142,112.3187,3.898320368,0.005980304
KSands,A2,28.8120753,Ratibida.pinnata,2.0236,,,2.0236,0.070234441,112.3187,3.898320368,0.01801659
KSands,A2,28.8120753,Rosa.carolina,0.0529,,,0.0529,0.001836036,112.3187,3.898320368,0.000470981
KSands,A2,28.8120753,Rudbeckia.hirta,0.7326,,,0.7326,0.025426839,112.3187,3.898320368,0.006522511
KSands,A2,28.8120753,Rudbeckia.triloba,0.1537,,,0.1537,0.005334569,112.3187,3.898320368,0.001368428
KSands,A2,28.8120753,Senna.hebecarpa,0.2,,,0.2,0.006941534,112.3187,3.898320368,0.001780647
KSands,A2,28.8120753,Silphium.integrifolium,0.5,,,0.5,0.017353835,112.3187,3.898320368,0.004451618
KSands,A2,28.8120753,Silphium.laciniatum,0.0979,,,0.0979,0.003397881,112.3187,3.898320368,0.000871627
KSands,A2,28.8120753,Silphium.terebinthinaceum,0.25,,,0.25,0.008676917,112.3187,3.898320368,0.002225809
KSands,A2,28.8120753,Euthamia.graminifolia,0.5,,,0.5,0.017353835,112.3187,3.898320368,0.004451618
KSands,A2,28.8120753,Solidago.riddellii,0.625,,,0.625,0.021692294,112.3187,3.898320368,0.005564523
KSands,A2,28.8120753,Solidago.rigida,1.1,,,1.1,0.038178437,112.3187,3.898320368,0.009793561
KSands,A2,28.8120753,Solidago.rugosa,1,,,1,0.03470767,112.3187,3.898320368,0.008903237
KSands,A2,28.8120753,Euthamia.caroliniana,1.5,,,1.5,0.052061505,112.3187,3.898320368,0.013354855
KSands,A2,28.8120753,Sorghastrum.nutans,20,,,20,0.694153399,112.3187,3.898320368,0.178064739
KSands,A2,28.8120753,Spartina.pectinata,0.5,,,0.5,0.017353835,112.3187,3.898320368,0.004451618
KSands,A2,28.8120753,Verbena.hastata,1.698,,,1.698,0.058933624,112.3187,3.898320368,0.015117696
KSands,A2,28.8120753,Verbena.stricta,0.0661,,,0.0661,0.002294177,112.3187,3.898320368,0.000588504
KSands,A2,28.8120753,Vernonia.gigantea,0.2139,,,0.2139,0.007423971,112.3187,3.898320368,0.001904402
KSands,A2,28.8120753,Veronicastrum.virginicum,0.0123,,,0.0123,0.000426904,112.3187,3.898320368,0.00010951
KSands,A2,28.8120753,Zizia.aurea,0.8113,,,0.8113,0.028158333,112.3187,3.898320368,0.007223196
KSands,A302,80.7632035,Andropogon.gerardii,54,,,54,0.668621323,3897.59375,48.25952391,0.013854702
KSands,A302,80.7632035,Symphyotrichum.novae-angliae,1.40625,,,1.40625,0.017412014,3897.59375,48.25952391,0.0003608
KSands,A302,80.7632035,Avena.sativa,2880,,,2880,35.65980391,3897.59375,48.25952391,0.738917441
KSands,A302,80.7632035,Baptisia.lactea,1.40625,,,1.40625,0.017412014,3897.59375,48.25952391,0.0003608
KSands,A302,80.7632035,Coreopsis.tripteris,4.21875,,,4.21875,0.052236041,3897.59375,48.25952391,0.001082399
KSands,A302,80.7632035,Dalea.purpurea,1.40625,,,1.40625,0.017412014,3897.59375,48.25952391,0.0003608
KSands,A302,80.7632035,Eryngium.yuccifolium,5.625,,,5.625,0.069648055,3897.59375,48.25952391,0.001443198
KSands,A302,80.7632035,Eutrochium.maculatum,2.8125,,,2.8125,0.034824027,3897.59375,48.25952391,0.000721599
KSands,A302,80.7632035,Helenium.autumnale,0.5625,,,0.5625,0.006964805,3897.59375,48.25952391,0.00014432
KSands,A302,80.7632035,Lespedeza.capitata,0.5625,,,0.5625,0.006964805,3897.59375,48.25952391,0.00014432
KSands,A302,80.7632035,Liatris.spicata,3.375,,,3.375,0.041788833,3897.59375,48.25952391,0.000865919
